movie_title,budget,gross,gross_budget_link
Carnage,25000000,,http://www.imdb.com/title/tt1692486/business?ref_=tt_dt_bus
Casablanca,950000,,http://www.imdb.com/title/tt0034583/business?ref_=tt_dt_bus
Cat on a Hot Tin Roof,3000000,,http://www.imdb.com/title/tt0051459/business?ref_=tt_dt_bus
Cat People,18000000,,http://www.imdb.com/title/tt0083722/business?ref_=tt_dt_bus
Catch-22,18000000,,http://www.imdb.com/title/tt0065528/business?ref_=tt_dt_bus
Chain of Command,5000000,,http://www.imdb.com/title/tt4340720/business?ref_=tt_dt_bus
Charly,,,http://www.imdb.com/title/tt0062794/business?ref_=tt_dt_bus
Checkmate,1500000,,http://www.imdb.com/title/tt3781616/business?ref_=tt_dt_bus
Chiamatemi Francesco - Il Papa della gente,15000000,,http://www.imdb.com/title/tt3856124/business?ref_=tt_dt_bus
Chicago Overcoat,3000000,,http://www.imdb.com/title/tt1085382/business?ref_=tt_dt_bus
Chicken Tikka Masala,1200000,,http://www.imdb.com/title/tt0449000/business?ref_=tt_dt_bus
Childless,1000000,,http://www.imdb.com/title/tt0867270/business?ref_=tt_dt_bus
Christmas Eve,,,http://www.imdb.com/title/tt3703148/business?ref_=tt_dt_bus
Christmas Mail,2500000,,http://www.imdb.com/title/tt1663628/business?ref_=tt_dt_bus
Circle,,,http://www.imdb.com/title/tt3118452/business?ref_=tt_dt_bus
Class of 1984,4300000,,http://www.imdb.com/title/tt0083739/business?ref_=tt_dt_bus
Close Range,3000000,,http://www.imdb.com/title/tt3511596/business?ref_=tt_dt_bus
Closer to the Moon,5000000,,http://www.imdb.com/title/tt2017486/business?ref_=tt_dt_bus
Closure,1800000,,http://www.imdb.com/title/tt0480011/business?ref_=tt_dt_bus
Code of Honor,8000000,,http://www.imdb.com/title/tt4060866/business?ref_=tt_dt_bus
Coffee Town,2000000,,http://www.imdb.com/title/tt2234025/business?ref_=tt_dt_bus
Commando,10000000,,http://www.imdb.com/title/tt0088944/business?ref_=tt_dt_bus
